id,Fairing Diameter,Fairing Height,Liftoff Thrust,Payload to GTO,Payload to LEO,Price,Rocket Height,Stages,Status,Strap-ons,base,company,date,link,status,title_1,title_2
7049,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-12-12 08:22:00+00:00,/launches/details/7049,1,Long March 4C,Shiyan 20A & 20B
6939,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-12-11 07:38:00+00:00,/launches/details/6939,1,Falcon 9 Block 5,HAKUTO-R Mission 1
4349,3.35 m,,,,"1,500 kg",,31.0 m,4,Active,0,"Tai Rui Barge (Area 3), Yellow Sea",CASC,2022-12-09 06:35:00+00:00,/launches/details/4349,1,Jielong-3,Demo Flight
2959,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-12-08 22:27:00+00:00,/launches/details/2959,1,Falcon 9 Block 5,OneWeb #15
7048,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2022-12-08 18:31:00+00:00,/launches/details/7048,1,Long March 2D,Gaofen-5 01A
4718,2.2 m,8.5 m,"1,250 kN",0 kg,"1,500 kg",$28.3 million,25.3 m,4,Active,0,"Site 95, Jiuquan Satellite Launch Center, China",ExPace,2022-12-07 01:15:00+00:00,/launches/details/4718,1,Kuaizhou 11,Xingyun VDES
7044,4.11 m,8.36 m,"4,550 kN",0 kg,"8,020 kg",$20.0 million,44.08 m,3,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2022-11-30 21:10:00+00:00,/launches/details/7044,1,Soyuz 2.1b,Cosmos 2565
4353,3.6 m,19.11 m,"5,985 kN",0 kg,"8,600 kg",,58.34 m,2,Active,4,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",CASC,2022-11-29 15:08:00+00:00,/launches/details/4353,1,Long March 2F/G,Shenzhou 15
2961,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/3, Plesetsk Cosmodrome, Russia",VKS RF,2022-11-28 15:17:00+00:00,/launches/details/2961,1,Soyuz 2.1b/Fregat-M,Cosmos 2564
7039,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-11-27 12:23:00+00:00,/launches/details/7039,1,Long March 2D,Yaogan 36 Group 03
4754,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-11-26 19:20:00+00:00,/launches/details/4754,1,Falcon 9 Block 5,CRS SpX-26
